ก.	kram0	gram;abbr. for กรัม
กีฬาทุ่มน้ำหนัก	ki:0la:0Tum2nam3nak1	shot put
กีฬายกน้ำหนัก	ki:0la:0jok3nam3nak1	weight lifting
กีฬาวิ่งผลัด	ki:0la:0wiN2Plat1	relay race
กีฬาโอลิมปิก	ki:0la:0o:0lim0pik1	olympic
กีฬาในร่ม	ki:0la:0naj0rom2	indoor sports;indoor game
กี่	ki:1	loom;CL: ตัว, หลัง, เครื่อง;how much;how many
กี่กระตุก	ki:1kra0tuk1	loom;CL: หลัง, เครื่อง
กี่ทอผ้า	ki:1TO:0Pa:2	loom;CL: หลัง, เครื่อง
กี่มากน้อย	ki:1ma:k2nO:j3	how many;how much
กี๋	ki:4	tripod for potted plant;Chinese stool for potted plants;CL: อัน
กึก	kWk1	suddenly;abruptly
กึกกัก	kWk1kak1	sound or clattering
กึกกือ	kWk1kW:0	strange;miraculous;peculiar
กึกก้อง	kWk1kON2	resoundingly;reverberantly;emphatically
กึง	kWN0	bang;suddenly and loudly
กึ่ง	kWN1	medium;half;middle;midway
กึ่งกลาง	kWN1kla:N0	center;middle;half;central
กึ่งทางการ	kWN1Ta:N0ka:n0	semi-formal;moderate formality
กึ่งพุทธกาล	kWN1Put3Ta0ka:n0	half of the Buddhist era
กึ่งราชการ	kWN1ra:t2Ca0ka:n0	semi-official
กึ่งสุกกึ่งดิบ	kWN1suk1kWN1dip1	half-cooked
กึ่งหนึ่ง	kWN1nWN1	half;equal part
กึ่งโลหะ	kWN1lo:0ha1	metalloid
กึ๋น	kWn4	gizzard;ventriculus;intelligence;common sense
กุ	ku1	to lie;to fib;to fabricate
กุกกัก	kuk1kak1	sound or clattering;inconveniently;uneasily;improperly;difficultly
กุกะมะเทิ่ง	ku1ka0ma0Tx:N2	insolent;crude
กุก ๆ กัก ๆ	kuk1kuk1kak1kak1	jerkily
กุก ๆ	kuk1kuk1	inconveniently;uneasily;improperly;difficultly
กุญชร	kun0CO:n0	elephant
กุญแจ	kun0cE:0	key;lock;latchkey;CL: ชุด, ดอก, ลูก, แม่
กุญแจกล	kun0cE:0kon0	combination lock
กุญแจประจำหลัก	kun0cE:0pra0cam0lak1	keynote;CL: ตัว
กุญแจปากตาย	kun0cE:0pa:k1ta:j0	wrench;spanner;CL: อัน, ตัว, ชุด
กุญแจผี	kun0cE:0Pi:4	skeleton key;passkey;master key;CL: ดอก, ลูก
กุญแจมือ	kun0cE:0mW:0	handcuffs;bracelets;shackles;CL: คู่
กุญแจรหัส	kun0cE:0ra0hat1	combination lock;CL: ดอก
กุญแจสายยู	kun0cE:0sa:j4ju:0	padlock
กุญแจเลื่อน	kun0cE:0lW:an2	monkey wrench;adjustable spanner;shifting spanner;CL: อัน, ตัว, ชุด
กุญแจเสียง	kun0cE:0si:aN4	clef;CL: ตัว
กุญแจแหวน	kun0cE:0wE:n4	spanner;CL: อัน, ตัว, ชุด
กุฎี	ku0di:0	monk's cell;monk's dwelling;monk's house;CL: หลัง
กุฏิ	kut1ti1	monk's house;monk's cell;monk's dwelling;CL: หลัง
กุณฑล	kun0Ton0	earring;CL: คู่
กุณฑี	kun0na0Ti:0	jug;jar;pitcher;water pot;CL: ใบ, ลูก
กุณโฑ	kun0To:0	water pitcher;jar;pitcher;pot;basin;goblet;CL: ใบ, ลูก
กุด	kut1	to cut off;to shorten;to maim
กุดัง	ku0daN0	storage;storehouse;warehouse;truck;lorry;CL: คัน
กุดั่น	ku0dan1	pattern with four-petalled flower
กุทัณฑ์	ku0Tan0	arrow;bow;bowknot;CL: คัน
กุน	kun0	the year of the pig
กุนเชียง	kun0Ci:aN0	(Chinese) sausage;CL: ข้าง, คู่
กุบ	kup1	hat;headgear;helmet;cap;CL: ใบ, ลูก
กุบกับ	kup1kap1	thuddingly;onomatopoeia from the sound of trotting (of horse)
กุม	kum0	to control;to be in charge of;to hold;to grab
กุมขมับ	kum0Ka0map1	to hold the head with hand
กุมฝอย	kum0fO:j4	garbage;rubbish
กุมภ	kum0Pa3	pot;jar;water jug;pitcher;CL: ใบ, ลูก
กุมภัณฑ์	kum0ma0Pan0	giant;ogre;CL: ตน
กุมภาพันธ์	kum0Pa:0Pan0	February
กุมภ์	kum0	Aquarius
กุมมือ	kum0mW:0	to hold one's hand;to clasp (hands)
กุมอำนาจ	kum0am0na:t2	to seize power;to be in power
กุมาร	ku0ma:n0	child;baby;infant;childhood;CL: คน
กุมารี	ku0ma:0ri:0	daughter;girl;CL: คน, องค์
กุมารเวชศาสตร์	ku0ma:n0we:t2Ca0sa:t1	pediatrics;pediatric medicine
กุมารแพทย์	ku0ma:n0PE:t2	pediatrician
กุมเหง	kum0he:N4	to bully;to harass;to persecute
กุยเฮง	kuj0he:N0	Chinese jacket;open-chested upper garment;CL: ตัว
กุลธิดา	kun0la0Ti3da:0	good daughter;virtuous daughter;CL: คน
กุลบุตร	kun0la0but1	good son;virtuous son;CL: คน
กุลสตรี	kun0la0sa0tri:0	lady;virtuous woman;noble lady;CL: คน
กุลา	ku0la:0	star-shaped kite;CL: ตัว
กุลาซ่อนผ้า	ku0la:0sOn2Pa:2	kind of game to hide a handkerchief
กุลาตีอก	ku0la:0ti:0ok1	kind of game in royal ceremony
กุลาตีไม้	ku0la:0ti:0ma:j3	kind of game in royal ceremony
กุลี	ku0li:0	coolie;laborer;package of 20 pieces of cloth;score
กุลีกุจอ	ku0li:0ku0cO:0	to hurry;energetic;eager
กุศล	ku0son4	merit;good;fortune;luck
กุศลกรรมบถ	ku0son4la0kam0bot1	ten principles of an honest man;Dasa Kusala-karm;ten wholesome actions
กุศลจิต	ku0son4la0cit1	charity
กุศลเจตนา	ku0son4ce:t1ta0na:0	virtuous intention;good intention;goodwill
กุศโลบาย	ku0sa0lo:0ba:j0	strategy
กุหนี	ku0ni:4	gunny sack;bag;CL: ใบ, ลูก
กุหลาบ	ku0la:p1	rose;CL: ต้น, ดอก
กุเรื่อง	ku0rW:aN2	to cook up;to concoct;to invent
กุ้ง	kuN2	shrimp;prawn;lobster;CL: ตัว, กิโลกรัม
กุ้งก้ามกราม	kuN2ka:m2kra:m0	giant freshwater prawn;Macrobrachium rosenbergii;CL: ตัว
กุ้งก้ามเกลี้ยง	kuN2ka:m2kli:aN2	prawn
กุ้งชุบแป้งทอด	kuN2Cup3pE:N2TO:t2	fried prawn balls
กุ้งดีด	kuN2di:t1	Crangon;CL: ตัว
กุ้งดีดขัน	kuN2di:t1Kan4	Crangon
กุ้งตะกาด	kuN2ta0ka:t1	metapenacus
กุ้งตะเข็บ	kuN2ta0Kep1	Penaeopsis
กุ้งนาง	kuN2na:N0	prawn;crayfish;CL: ตัว
กุ้งฟัด	kuN2fat3	dried prawn without skin;CL: กิโลกรัม
กุ้งมังกร	kuN2maN0kO:n0	lobster;CL: ตัว
กุ้งยิง	kuN2jiN0	sty;stye
กุ้งหนามใหญ่	kuN2na:m4jaj1	lobster
กุ้งหลวง	kuN2lu:aN4	giant freshwater prawn;big-head prawn;big-head shrimp;CL: ตัว
กุ้งเคย	kuN2Kx:j0	small sized shrimp
กุ้งเต้น	kuN2ten2	Orchestia agilis;CL: ตัว
กุ้งเล็ก	kuN2lek3	Penaeopsis
กุ้งแช่น้ำปลา	kuN2CE:2nam3pla:0	shrimp in fish sauce
กุ้งแสม	kuN2sa0mE:4	a species of prawn
กุ้งแห้ง	kuN2hEN2	skinniness;thinness;dried salted prawn;dried shrimp
กุ๊ก	kuk3	cook;chef;CL: คน
กุ๊กกิ๊ก	kuk3kik3	tinkle
กุ๊ก ๆ กิ๊ก ๆ	kuk3kuk3kik3kik3	tinkle
กุ๊น	kun3	to hem
กุ๊ย	kuj3	tramp;hobo;bum;vagrant;CL: คน
กุ๋ย	kuj4	shame on one
กุ๋ย ๆ	kuj4kuj4	shame on one
กู	ku:0	I;me
กูบ	ku:p1	howdah;houdah;saddle (for elephant);CL: หลัง
กูบช้าง	ku:p1Ca:N3	howdah
กูปรี	ku:0pri:0	kouprey;gray ox;CL: ตัว
กูรมะ	ku:0ra0ma3	turtle;tortoise
กูรำ	ku:0ram0	serow;CL: ตัว, ฝูง
กู่	ku:1	to holler;to shout
กู่ตะโกน	ku:1ta0ko:n0	to call
กู่ร้อง	ku:1rO:N3	to holler
กู่เรียก	ku:1ri:ak2	to holler
กู้	ku:2	to salvage;to dredge out;to get out of the water;to retrieve;to save;to borrow;to raise a loan
กู้ชาติ	ku:2Ca:t2	to liberate;to restore a fallen state;to save the nation
กู้ภัย	ku:2Paj0	to rescue;to save;to aid;to help;to restore
กู้ยืม	ku:2jW:m0	to borrow;to take on loan
กู้หน้า	ku:2na:2	to retrieve situation;to save one's face
กู้เงิน	ku:2Nxn0	to borrow money
กู้เรือ	ku:2rW:a0	to salvage
กเรณู	ka0re3nu:0	elephant
กเรนทร	ka0re:n0TO:n0	elephant;CL: เชือก, โขลง
กเรนทร์	ka0re:n0Ta3	head elephant
ก็	kO:2	also;likewise;as a result;subsequently
ก็ช่าง	kO:2Ca:N2	accordingly
ก็ดี	kO:2di:0	may as well;not bad;or;and;whether or
ก็ตาม	kO:2ta:m0	no matter;whatever
ก็ได้	kO:2da:j2	all right;OK;fine
ก่ง	koN1	to bend;arched;bent;bowed;curved
ก่น	kon1	absorbed;to reproach;to abuse;to curse;to swear;to dig out
ก่นสร้าง	kon1sa:N2	to clear;to cut;to eradicate
ก่อ	kO:1	to construct;to build;to create;to cause;to stir up;to light (a fire);to lay (brick);to put;to place;to set
ก่อกรรม	kO:1kam0	to commit a sin;to do evil;to make trouble
ก่อกรรมทำเข็ญ	kO:1kam0Tam0Ken4	to commit a sin;to do all kinds of evil;to make trouble
ก่อกวน	kO:1ku:an0	to agitate;to disturb;to annoy
ก่อการ	kO:1ka:n0	to start;to launch;to initiate
ก่อการร้าย	kO:1ka:n0ra:j3	to terrorize;to cause terrorism;to cause violence
ก่อกำเนิด	kO:1kam0nx:t1	to occur;to start;to initiate;to originate
ก่อขึ้น	kO:1KWn2	to make
ก่อควัน	kO:1Kwan0	to smoke
ก่อความวุ่นวาย	kO:1Kwa:m0wun2wa:j0	to stage an uprising;to stage an insurrection
ก่อความไม่สงบ	kO:1Kwa:m0maj2sa0Nop1	to stage an uprising
ก่อตัว	kO:1tu:a0	to start;to develop;to form
ก่อตั้ง	kO:1taN2	to set up;to establish
ก่อน	kO:n1	before;first;former;in the past;ago
ก่อนกำหนด	kO:n1kam0not1	ahead of schedule;ahead of time;prematurely
ก่อนคริสต์ศักราช	kO:n1Krit3sak1ka0ra:t1	before Christian era;BC
ก่อนที่	kO:n1Ti:2	before
ก่อนที่จะ	kO:n1Ti:2ca1	before
ก่อนนั้น	kO:n1nan3	formerly
ก่อนหน้า	kO:n1na:2	before;beforehand
ก่อนหน้านี้	kO:n1na:2ni:3	previously;formerly;former times
ก่อนอาหาร	kO:n1a:0ha:n4	before meals;before eating
ก่อนอื่น	kO:n1W:n1	firstly;first and foremost;first of all
ก่อนเที่ยง	kO:n1Ti:aN2	ante meridian;a.m.;forenoon
ก่อนเพื่อน	kO:n1PW:an2	firstly;before other things;before anyone else;foremost;in the first place
ก่อนเวลา	kO:n1we:0la:0	ahead of schedule;ahead of time
ก่อปัญหา	kO:1pan0ha:4	to make problem;to cause problem
ก่อรูป	kO:1ru:p2	to start
ก่อร่างสร้างตัว	kO:1ra:N2sa:N2tu:a0	to build up a fortune;to make one's way
ก่อฤกษ์	kO:1rx:k2	to lay the corner stone;to perform a construction ceremony at the beginning
ก่อวินาศกรรม	kO:1wi3na:t2sa0kam0	to sabotage;to undermine;to overturn;to destroy;to wreck
ก่อสร้าง	kO:1sa:N2	to build;to construct
ก่อหวอด	kO:1wO:t1	to originate;to brew;to ferment
ก่ออิฐ	kO:1it1	to lay bricks
ก่อเกิด	kO:1kx:t1	to initiate;to originate;to launch
ก่อเรื่อง	kO:1rW:aN2	to cause trouble
ก่อเรื่องขึ้น	kO:1rW:aN2KWn2	to make a quarrel
ก่อเวร	kO:1we:n0	to do evil
ก่อเหตุ	kO:1he:t1	to cause trouble
ก่อเหตุขึ้น	kO:1he:t1KWn2	to make a quarrel
ก่อให้เกิด	kO:1haj2kx:t1	to cause;to produce;to create
ก่อไฟ	kO:1faj0	to light;to start a fire;to ignite
ก่าย	ka:j1	to rest on;to place
ก่ายกอง	ka:j1kO:N0	many;plenty
ก่ายขา	ka:j1Ka:4	to lie the legs
ก่ำ	kam1	to ruddy;to intensify;to glow;deeply;vividly
ก่ำบึ้ง	kam1bWN2	malopacus
ก้งโค้ง	koN2Ko:N3	to stoop
ก้น	kon2	bottom;buttocks;CL: ก้น
ก้นกบ	kon2kop1	coccyx
ก้นกรอง	kon2krO:N0	cigarette butt
ก้นกรองบุหรี่	kon2krO:N0bu0ri:1	cigarette butt
ก้นกระดก	kon2kra0dok1	to get cocky;elated
ก้นกอย	kon2kO:j0	anus
ก้นกุฏิ	kon2ku1ti1	one's favorite disciple;factotum;majordomo;CL: คน
ก้นขบ	kon2Kop1	cylindrophis ruffus;species of non-poisonous snake;CL: ตัว
ก้นตะกรน	kon2ta0kron0	dregs;precipitate;sediment
ก้นถุง	kon2TuN4	reserve money
ก้นบึ้ง	kon2bWN2	abyss;one's innermost feelings
ก้นปอด	kon2pO:t1	lean buttocks;flat buttocks
ก้นย้อย	kon2jO:j3	fat buttocks
ก้นสอบเล็ก	kon2sO:p1lek3	lean buttocks
ก้นหอย	kon2hOj4	spiral;helix;finger whorl;whorl
ก้นห้อย	kon2hOj2	fat buttocks
ก้นแฟบ	kon2fE:p2	lean buttocks
ก้ม	kom2	to bend down;to stoop;to bow
ก้มตัว	kom2tu:a0	to bend down;to stoop;to bow;to lean
ก้มลง	kom2loN0	to bend down;to stoop;to bow;to lean
ก้มศีรษะ	kom2si:4sa1	to nod
ก้มหน้า	kom2na:2	to low one's head;to persevere;to endure
ก้มหน้าก้มตา	kom2na:2kom2ta:0	to concentrate;to make an effort;to converge
ก้มหัว	kom2hu:a4	to yield;to succumb;to submit;to accept;to bow the head
ก้อ	kO:2	name of a hill tribe in the northern Thailand
ก้อง	kON2	resoundingly;resonantly;to echo
ก้องกังวาน	kON2kaN0wa:n0	to echo
ก้อน	kO:n2	lump;chunk;CL: ก้อน
ก้อนกรวด	kO:n2kru:at1	pebble;grit;gravel;CL: ก้อน
ก้อนขี้หมา	kO:n2Ki:2ma:4	knob on the crocodile's mouth
ก้อนดิน	kO:n2din0	clod of earth
ก้อนหิน	kO:n2hin4	stone;rock;CL: ก้อน
ก้อนอิฐ	kO:n2it1	brick;CL: ก้อน
ก้อนเนื้องอก	kO:n2nW:a3NO:k2	tumor
ก้อนเมฆ	kO:n2me:k2	cloud
ก้อนเส้า	kO:n2saw2	pieces of stone which used as stove;CL: ก้อน
ก้อย	kO:j2	little finger;CL: นิ้ว;reverse side;reverse of a coin
ก้อร่อ	kO:2rO:2	to pose;to affect;to flirt
ก้อร่อก้อติก	kO:2rO:2kO:2tik1	to pose;to affect;to flirt
ก้าง	ka:N2	fishbone;CL: ก้าง, อัน
ก้างขวางคอ	ka:N2Kwa:N4KO:0	fishbone got stuck in one's throat;one who causes interruption
ก้างปลา	ka:N2pla:0	fishbone
ก้าน	ka:n2	stem;stalk;CL: ก้าน
ก้านขด	ka:n2Kot1	Kankhot;name of decorating pattern;CL: ลาย
ก้านคอ	ka:n2KO:0	nape
ก้านดอก	ka:n2dO:k1	stalk;stem of a flower;CL: ก้าน
ก้านดอกไม้	ka:n2dO:k1ma:j3	stem
ก้านตอง	ka:n2tO:N0	curved strips of wood nailed to the insides of small boats;round sideboard of a boat or ship
ก้านต่อดอก	ka:n2tO:1dO:k1	name of decorating pattern;a running foliage decoration;CL: ลาย
ก้านธูป	ka:n2Tu:p2	incense stick;CL: ก้าน
ก้านบัว	ka:n2bu:a0	leg bracelets;anklet bracelets;CL: อัน
ก้านมะพร้าว	ka:n2ma0Pra:w3	name of a species of snake
ก้านแย่ง	ka:n2jE:N2	name of decorating pattern;CL: ลาย
ก้านใบ	ka:n2baj0	leaf stalk;CL: ก้าน
ก้านไม้	ka:n2ma:j3	branch
ก้านไม้ขีด	ka:n2maj3Ki:t1	stalk of a match;CL: ก้าน
ก้าบ ๆ	ka:p2ka:p2	quacks of a duck
